V1,V2,weight
59,237,0.88
1229,894,0.97
1229,542,0.93
1097,469,0.94
1097,1118,0.77
1097,46,0.81
1097,1302,0.61
1131,423,1.0
1131,141,0.93
1131,462,0.55
1131,899,0.63
1131,1054,0.93
774,1117,0.9
774,1008,0.81
774,378,0.88
774,830,0.6
1692,1302,0.48
612,319,0.67
612,1322,0.48
612,195,0.74
1130,406,0.97
1130,1534,0.93
1130,1639,0.63
1303,1308,0.63
1303,253,0.81
1303,443,0.87
1544,332,0.98
1544,694,0.97
892,886,0.83
892,229,0.97
1258,1322,0.46
1258,462,0.26
1258,694,0.89
1258,486,0.93
1258,1375,0.92
1258,1352,0.95
1258,595,0.79
272,1400,0.98
272,62,0.98
1194,392,0.89
1194,109,0.87
1194,274,0.84
1346,1025,0.99
1346,1712,0.52
1346,1382,0.83
1346,886,0.82
1346,694,0.88
1346,1356,0.85
1567,84,0.6
1567,694,0.63
1537,1356,0.83
1537,1510,0.72
1537,902,0.76
1537,43,0.64
285,1639,0.99
285,18,0.95
285,693,0.9
285,300,0.73
285,660,0.69
285,442,0.69
285,644,0.99
1532,783,0.79
1235,768,0.86
641,488,0.71
641,510,0.99
1371,1720,0.98
1653,913,0.88
1653,1308,0.79
1653,1302,0.65
1660,1414,0.98
1660,809,0.82
1119,1268,0.69
681,693,0.4
681,812,0.78
991,1200,0.9
991,423,0.74
991,302,0.87
1212,694,0.81
1212,1190,0.66
1212,1618,0.88
1423,805,0.76
1423,1661,0.96
299,1639,0.47
299,1302,0.45
224,319,0.91
224,1639,0.88
224,223,0.99
224,694,0.85
224,1190,1.0
224,1308,0.99
224,99,0.96
982,319,0.96
982,1639,0.93
982,134,0.6
858,46,0.98
1643,1493,0.96
1643,155,0.45
1643,1749,0.97
1357,1650,0.86
1357,1615,0.84
1357,1700,0.98
1339,998,0.82
1470,1562,0.88
122,1308,0.8
1193,560,0.95
1193,529,0.93
1193,1250,0.81
754,406,0.79
1354,1712,0.27
1712,697,0.93
1712,1696,0.89
1712,43,0.56
1712,1345,0.39
1712,1356,0.37
1712,1605,0.35
1712,1656,0.45
1106,322,0.82
1106,26,0.95
1106,211,0.91
1106,258,1.0
1106,505,0.82
1387,62,0.65
1267,1604,0.6
33,1704,0.89
329,295,0.88
1006,539,0.84
1006,46,0.96
1006,319,0.88
1006,322,0.97
1006,1696,0.88
1006,1003,0.99
1006,265,0.76
1006,107,0.95
1006,826,0.88
1006,462,0.49
1006,1201,0.8
1006,378,0.77
1480,59,0.84
1480,1235,0.81
1480,373,0.83
402,431,0.86
402,1639,0.67
477,518,0.89
477,1548,0.79
970,347,0.96
970,319,0.54
970,588,0.49
970,1164,0.46
970,827,0.94
398,785,0.8
398,274,0.83
398,1647,0.96
398,319,0.88
165,1322,0.5
165,9,0.93
1502,1725,0.86
1401,827,0.86
1401,1322,0.43
1401,888,0.93
1659,1639,0.57
1659,886,0.78
1659,1619,1.0
1327,572,0.95
1327,11,0.93
1768,746,0.83
1582,1356,0.84
1582,1398,0.6
1582,979,0.74
647,488,0.84
1029,182,0.96
1721,1042,0.95
1158,237,0.83
1158,337,0.77
1158,1128,0.92
1158,1639,0.61
1138,767,0.67
1138,1123,0.87
768,86,0.74
768,803,0.79
1657,46,0.96
1657,319,0.8
382,46,0.96
382,664,0.98
382,288,0.93
382,1549,0.92
382,462,0.4
302,1549,0.83
302,462,0.16
1471,709,0.92
644,368,0.9
644,24,0.64
644,462,0.63
644,1639,1.0
644,1201,0.94
644,18,0.94
644,918,0.47
595,1322,0.68
595,486,0.71
115,378,0.58
294,560,0.74
294,17,0.54
1716,1363,0.66
1716,120,0.74
1716,1254,0.78
1716,1664,0.96
913,1756,0.85
913,319,0.81
913,46,0.97
1411,1510,0.77
801,1076,0.93
617,319,0.55
617,1639,0.53
46,1145,0.98
46,319,0.84
46,733,1.0
46,260,0.98
46,1322,0.65
46,693,0.73
46,43,0.83
46,35,0.88
387,1013,0.8
387,174,0.94
701,57,0.97
701,1225,0.96
562,827,0.97
562,1549,0.73
562,459,0.86
1632,1536,0.93
1632,830,0.88
1632,1495,0.93
1418,1692,0.93
1506,811,0.74
1671,807,0.52
876,46,0.93
781,1647,0.86
781,1145,0.87
781,253,0.98
937,1200,0.85
937,537,0.98
937,1322,0.45
937,807,0.63
937,1013,0.8
937,296,0.81
1571,694,0.74
1735,937,0.71
1735,1738,0.74
807,285,0.99
807,18,0.96
807,627,0.97
807,1639,0.98
807,319,0.99
807,46,0.83
807,43,0.67
807,827,0.47
807,1620,0.55
807,1671,0.52
133,1350,0.86
904,1068,0.86
904,618,0.94
904,30,0.99
904,537,0.88
904,1164,0.69
904,1372,0.69
526,46,0.67
526,742,0.95
223,156,0.99
223,17,0.93
223,235,0.97
223,694,0.84
223,224,0.99
724,1117,0.9
724,1201,0.71
422,830,0.91
422,654,0.93
443,1308,0.76
443,1548,0.86
443,26,0.94
443,1302,0.62
443,1164,0.59
443,1540,0.83
954,1744,0.88
1637,1316,0.9
1230,305,0.93
1230,1114,0.8
1230,600,0.88
1031,93,0.98
1031,433,0.88
1031,46,0.95
1031,998,0.87
1031,1085,0.88
661,1164,0.57
661,423,0.7
661,46,0.8
583,737,0.95
583,378,0.37
583,1755,0.88
1278,1322,0.8
1638,746,0.83
1638,1302,0.41
1638,879,0.77
1079,694,0.84
1079,319,0.6
211,46,0.92
211,423,0.82
211,26,0.96
1333,823,0.9
1333,1083,0.87
1333,793,0.93
1333,234,0.97
174,378,0.46
174,561,0.57
174,1268,0.72
174,387,0.94
350,1322,0.51
350,1164,0.63
350,977,0.7
1396,1639,0.38
200,1164,0.61
449,407,0.98
1483,1691,0.98
1576,155,0.98
1576,1639,0.85
1576,319,0.88
1604,442,0.85
1604,1658,0.94
1604,1267,0.6
182,43,0.93
182,27,0.92
182,218,0.94
1620,1164,0.49
1620,807,0.55
337,644,0.84
1500,1403,0.9
1500,879,0.78
1500,884,0.91
1452,616,0.74
682,1302,0.55
682,406,0.91
1395,1454,0.84
1395,859,0.66
455,1090,1.0
455,291,0.89
506,322,0.79
506,698,0.99
506,702,1.0
506,67,0.88
506,952,0.98
506,486,0.94
506,689,0.94
506,742,0.93
506,1549,0.92
506,644,0.61
506,693,0.52
1587,112,0.91
388,1190,0.87
508,265,0.98
508,1054,0.88
508,319,0.86
508,107,0.79
1358,558,0.86
1358,93,0.63
1358,1117,0.55
52,1308,0.96
52,667,0.95
52,134,0.5
979,1505,0.98
979,478,0.99
979,43,0.91
979,1409,0.99
369,43,0.71
369,549,0.95
369,879,0.7
369,406,0.7
1628,1568,0.93
1628,644,0.5
1628,1549,0.8
1505,62,0.76
